,CASENO,OFFENSE,CVLEGEND,BLKADDR,City,State,Day,Lat,Lon,timestamp
4246,17064888,BURGLARY AUTO,BURGLARY - VEHICLE,VIRGINIA STREET & ARCH ST,Berkeley,CA,Tuesday,37.877323,-122.264273,2017-10-24 20:30:00
4247,17092561,THEFT MISD. (UNDER $950),LARCENY,2000 ADDISON ST,Berkeley,CA,Sunday,37.870867,-122.270635,2017-12-24 13:00:00
4248,17063230,ASSAULT/BATTERY MISD.,ASSAULT,2600 ASHBY AVE,Berkeley,CA,Wednesday,37.856755,-122.255248,2017-10-18 17:00:00
4249,17064486,THEFT MISD. (UNDER $950),LARCENY,2200 DURANT AVE,Berkeley,CA,Monday,37.866969,-122.26553,2017-10-23 18:50:00
4250,17091784,BURGLARY AUTO,BURGLARY - VEHICLE,2100 OXFORD ST,Berkeley,CA,Thursday,37.87091,-122.265993,2017-08-31 21:30:00
4251,17058106,ROBBERY,ROBBERY,DWIGHT WAY & GRANT ST,Berkeley,CA,Monday,37.863058,-122.274386,2017-09-25 21:31:00
4252,17051760,ASSAULT/BATTERY MISD.,ASSAULT,2200 SHATTUCK AVE,Berkeley,CA,Thursday,37.869363,-122.268028,2017-08-31 08:15:00
4253,17055721,THEFT MISD. (UNDER $950),LARCENY,2100 UNIVERSITY AVE,Berkeley,CA,Monday,37.872175,-122.267835,2017-09-11 13:00:00
4254,17064374,THEFT MISD. (UNDER $950),LARCENY,1700 CHESTNUT ST,Berkeley,CA,Sunday,37.874095,-122.288542,2017-10-22 17:00:00
4255,17078433,DISTURBANCE,DISORDERLY CONDUCT,1400 SHATTUCK AVE,Berkeley,CA,Thursday,37.881957,-122.269551,2017-12-28 10:26:00
4256,18005259,THEFT FELONY (OVER $950),LARCENY,1000 FOLGER AVE,Berkeley,CA,Friday,37.850444,-122.28886599999998,2018-01-19 19:15:00
4257,17077038,THEFT MISD. (UNDER $950),LARCENY,1000 DELAWARE ST,Berkeley,CA,Wednesday,37.871271,-122.295015,2017-12-20 13:30:00
4258,17057549,VEHICLE STOLEN,MOTOR VEHICLE THEFT,1600 SIXTY-SECOND ST,Berkeley,CA,Friday,37.872599,-122.30388899999998,2017-09-22 23:00:00
4259,17073607,VEHICLE STOLEN,MOTOR VEHICLE THEFT,400 GILMAN ST,Berkeley,CA,Sunday,37.87773,-122.309541,2017-12-03 23:00:00
4260,17064624,ASSAULT/BATTERY FEL.,ASSAULT,ADELINE STREET & RUSSELL ST,Berkeley,CA,Tuesday,37.856528,-122.268297,2017-10-24 12:44:00
