incidntnum,category,descript,dayofweek,date,time,pddistrict,resolution,address,x,y,location,pdid
101102783,OTHER OFFENSES,FALSE PERSONATION TO RECEIVE MONEY OR PROPERTY,Monday,11/29/2010,11:00:00,MISSION,NONE,100 Block of UTAH ST,-122.406667637408,37.7677704791539,"(37.7677704791539, -122.406667637408)",10110278309029
100686075,BURGLARY,"BURGLARY OF STORE, UNLAWFUL ENTRY",Tuesday,07/27/2010,13:56:00,CENTRAL,NONE,200 Block of POST ST,-122.406021838484,37.7886491245294,"(37.7886491245294, -122.406021838484)",10068607505053
41345045,NON-CRIMINAL,TURNED IN GUN,Thursday,11/25/2004,13:00:00,RICHMOND,NOT PROSECUTED,2900 Block of CALIFORNIA ST,-122.44293624626,37.7876951560598,"(37.7876951560598, -122.44293624626)",4134504573010
160307926,TRESPASS,TRESPASSING,Thursday,04/14/2016,18:25:00,NORTHERN,"ARREST, BOOKED",800 Block of MCALLISTER ST,-122.42521142910981,37.77951805883393,"(37.77951805883393, -122.42521142910981)",16030792627195
30857592,OTHER OFFENSES,TRAFFIC VIOLATION,Saturday,07/19/2003,10:08:00,MISSION,"ARREST, CITED",800 Block of FLORIDA ST,-122.410534598802,37.7583377595165,"(37.7583377595165, -122.410534598802)",3085759265015
160020219,ASSAULT,THREATS AGAINST LIFE,Friday,01/08/2016,10:50:00,BAYVIEW,NONE,1200 Block of 3RD ST,-122.38951764803554,37.77246824000607,"(37.77246824000607, -122.38951764803554)",16002021919057
40449399,ASSAULT,AGGRAVATED ASSAULT WITH A DEADLY WEAPON,Friday,04/16/2004,09:52:00,RICHMOND,NONE,500 Block of 7TH AV,-122.46520726793,37.7780927956867,"(37.7780927956867, -122.46520726793)",4044939904013
40233578,DRUG/NARCOTIC,POSSESSION OF BASE/ROCK COCAINE,Friday,02/27/2004,15:08:00,MISSION,"ARREST, BOOKED",CESAR CHAVEZ ST / YORK ST,-122.407767261253,37.7484240251983,"(37.7484240251983, -122.407767261253)",4023357816621
40360400,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Thursday,03/25/2004,10:30:00,SOUTHERN,NONE,BRANNAN ST / 4TH ST,-122.396533248463,37.7783268978556,"(37.7783268978556, -122.396533248463)",4036040006244
130680774,VANDALISM,"MALICIOUS MISCHIEF, VANDALISM OF VEHICLES",Friday,08/16/2013,15:30:00,MISSION,NONE,2400 Block of HARRISON ST,-122.41249200397,37.7582093438925,"(37.7582093438925, -122.41249200397)",13068077428160
60846731,ROBBERY,ROBBERY ON THE STREET WITH A GUN,Wednesday,06/28/2006,20:00:00,NORTHERN,NONE,TURK ST / LAGUNA ST,-122.427206305932,37.7811175256377,"(37.7811175256377, -122.427206305932)",6084673103011
130462168,NON-CRIMINAL,FIRE REPORT,Wednesday,06/05/2013,02:35:00,TARAVAL,NONE,800 Block of HEAD ST,-122.463116768495,37.7227128688319,"(37.7227128688319, -122.463116768495)",13046216868e3
140454650,OTHER OFFENSES,"DRIVERS LICENSE, SUSPENDED OR REVOKED",Saturday,05/31/2014,16:44:00,BAYVIEW,"ARREST, CITED",OAKDALE AV / TOLAND ST,-122.401556880465,37.7409621320066,"(37.7409621320066, -122.401556880465)",14045465065016
90067173,VEHICLE THEFT,STOLEN AUTOMOBILE,Sunday,01/18/2009,18:30:00,NORTHERN,NONE,GOUGH ST / GREENWICH ST,-122.427647842177,37.7999953346976,"(37.7999953346976, -122.427647842177)",9006717307021
40826725,ASSAULT,THREATS AGAINST LIFE,Tuesday,07/20/2004,12:15:00,INGLESIDE,NONE,900 Block of BRUSSELS ST,-122.402870876426,37.72044532642,"(37.72044532642, -122.402870876426)",4082672519057
91234915,NON-CRIMINAL,"AIDED CASE, DOG BITE",Friday,11/27/2009,09:00:00,RICHMOND,NONE,2000 Block of PIERCE ST,-122.437341656722,37.7891898103122,"(37.7891898103122, -122.437341656722)",9123491564010
50370320,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Wednesday,03/23/2005,15:30:00,SOUTHERN,NONE,4TH ST / FOLSOM ST,-122.401161555609,37.7820238478746,"(37.7820238478746, -122.401161555609)",5037032006244
110678959,ROBBERY,"ROBBERY ON THE STREET, STRONGARM",Wednesday,08/24/2011,13:10:00,BAYVIEW,NONE,2400 Block of SAN BRUNO AV,-122.405412091734,37.7318198889718,"(37.7318198889718, -122.405412091734)",11067895903014
70638136,DRUG/NARCOTIC,POSSESSION OF CONTROLLED SUBSTANCE,Sunday,06/24/2007,19:50:00,TENDERLOIN,"ARREST, BOOKED",200 Block of TURK ST,-122.413259498719,37.7829514828801,"(37.7829514828801, -122.413259498719)",7063813616660
